Jang Bogo, https://en.wikipedia.org/wiki/Jang_Bogo_Station, Terra Nova Bay, https://en.wikipedia.org/wiki/Terra_Nova_Bay, South Korea, https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png, 23, 15, Korea Polar Research Institute, https://en.wikipedia.org/wiki/Korea_Polar_Research_Institute, 2014, 62, 62,  23, AQ JBS, +11, https://en.wikipedia.org/wiki/UTC%2B11, −15.1  
Halley, https://en.wikipedia.org/wiki/Halley_Research_Station, Brunt Ice Shelf, https://en.wikipedia.org/wiki/Brunt_Ice_Shelf, United Kingdom, https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 23, 12, British Antarctic Survey, https://en.wikipedia.org/wiki/British_Antarctic_Survey, 2013, 52, 70,  17, AQ HLY, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −18.5  
King Sejong, https://en.wikipedia.org/wiki/King_Sejong_Station, King George Island, https://en.wikipedia.org/wiki/King_George_Island_(Antarctica), South Korea, https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/23px-Flag_of_South_Korea.svg.png, 23, 15, Korea Polar Research Institute, https://en.wikipedia.org/wiki/Korea_Polar_Research_Institute, 1988, 68, 68,  22, AQ KSG, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −1.8  
Maitri, https://en.wikipedia.org/wiki/Maitri_(research_station), Schirmacher Oasis, https://en.wikipedia.org/wiki/Schirmacher_Oasis, India, https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png, 23, 15, National Centre for Polar and Ocean Research, https://en.wikipedia.org/wiki/National_Centre_for_Polar_and_Ocean_Research, 1989, 65, 45,  25, AQ MTR, +5:30, https://en.wikipedia.org/wiki/UTC%2B5:30, −9.7  
Marambio, https://en.wikipedia.org/wiki/Marambio_Base, Marambio Island, https://en.wikipedia.org/wiki/Marambio_Island, Argentina, https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/23px-Flag_of_Argentina.svg.png, 23, 14, Instituto Antartico Argentino, https://en.wikipedia.org/wiki/Instituto_Antartico_Argentino, 1969, 165, 165,  70, AQ MRB, −3, https://en.wikipedia.org/wiki/UTC%E2%88%923, −8.1  
Mawson, https://en.wikipedia.org/wiki/Mawson_Station, Mac Robertson Land, https://en.wikipedia.org/wiki/Mac_Robertson_Land_(Antarctica), Australia, https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/23px-Flag_of_Australia_%28converted%29.svg.png, 23, 12, Australian Antarctic Division, https://en.wikipedia.org/wiki/Australian_Antarctic_Division, 1954, 53, 53,  15, AQ MAW, +6, https://en.wikipedia.org/wiki/UTC%2B6, −8.3  
McMurdo, https://en.wikipedia.org/wiki/McMurdo_Station, , , United States, https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, 23, 12, United States Antarctic Program, https://en.wikipedia.org/wiki/United_States_Antarctic_Program, 1956, 1200, 1000,  153, AQ MCM, +12, https://en.wikipedia.org/wiki/UTC%2B12, −17.3  
Mirny, https://en.wikipedia.org/wiki/Mirny_Station, Davis Sea, https://en.wikipedia.org/wiki/Davis_Sea, Russia, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, , , 1956, 50, 50,  25, AQ MIR, +6, https://en.wikipedia.org/wiki/UTC%2B6, −11.3  
Neumayer III, https://en.wikipedia.org/wiki/Neumayer-Station_III, Atka Bay, https://en.wikipedia.org/wiki/Atka_Bay, Germany, https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/23px-Flag_of_Germany.svg.png, 23, 14, Alfred Wegener Institute, https://en.wikipedia.org/wiki/Alfred_Wegener_Institute, 2009, 60, 60,  9, AQ NEU, 0, https://en.wikipedia.org/wiki/UTC%2B0, −16.0  
Novolazarevskaya, https://en.wikipedia.org/wiki/Novolazarevskaya_Station, , , Russia, https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png, 23, 15, , , 1961, 70, 70,  40, AQ NOV, 0, https://en.wikipedia.org/wiki/UTC%2B0, −10.3  
